title,subtitle,author,synopsis,title_type,mission
How to Think Like a Roman Emperor,How to Think Like a Roman Emperor,Donald Robertson,"Donald Robertson is one of the world’s leading thinkers, writers AND practitioners of Stoic philosophy. He’s also a therapist who integrates Stoicism into his work with individuals. This is our second Note on one of his great books. The first Note was on The Philosophy of Cognitive Behavioral Therapy in which he connects the philosophical underpinnings of CBT (one of the most empirically-validated, effective modern therapies) to ancient Stoicism. This book is part biography and part philosophy. It’s all awesome. If you want to know how to think like a Roman emperor, start here. I think you’ll enjoy the book as much as I did.",PhilosophersNotes,Ancient Wisdom
How to Be Free,An Ancient Guide to the Stoic Life (Ancient Wisdom for Modern Readers),Epictetus & A. A. Long,"A.A. Long is professor emeritus of classics and affiliated professor of philosophy at the University of California, Berkeley. He is also one of the world’s most respected scholars of Stoicism. As per the inside flap, in this beautiful little (hand)book, he provides “splendid new translations and the original Greek on facing pages, a compelling introduction that sets Epictetus in context and describes the importance of Stoic freedom today, and an invaluable glossary of key words and concepts. The result is an unmatched introduction to this powerful method of managing emotions and handling life’s situations, from the most ordinary to the most demanding.” Big Ideas we explore include freedom vs. slavery, the ultimate target (progress!), wisdom daggers (ready at hand), Rule #1 of Stoicism, how to win at life and using our full powers.",PhilosophersNotes,Ancient Wisdom
How to Be a Stoic,Using Ancient Philosophy to Live a Modern Life,Massimo Pigliucci,"Massimo Pigliucci is a Professor of Philosophy at City College of New York. He has three PhDs—one in genetics, another in evolutionary biology and a third in philosophy. And, most importantly for our purposes, he’s a practicing Stoic philosopher. In this book, Professor Pigliucci teaches us how to be a Stoic via an imaginary dialogue with Epictetus, one of the leading Stoic teachers of the ancient world. It’s a wonderfully written, super-smart look at how we can use “ancient philosophy to live a modern life.” Big Ideas we explore include an introduction to our guide Epictetus, Rule #1 of Stoicism (some things are in our power, others are not), the cardinal virtues (of Stoicism + Science + Optimize), the power of role models (and the Stoic Paradox), and the ultimate how to be a Stoic practice question: How can I use virtue here and now?",PhilosophersNotes,Ancient Wisdom
The Practicing Stoic,A Philosophical User's Manual,Ward Farnsworth,"Ward Farnsworth is the Dean of the University of Texas School of Law. As you can imagine, he brings a logical precision to his discussion of Stoicism that is distinct and powerful. (Seriously. It’s actually ASTONISHINGLY powerful.) I really enjoyed the book and I highly recommend it for the aspiring Practicing Stoic. Big Ideas we explore include Principle #1 of practical Stoicism (Judgment!), the good life vs. the good mood (virtue for the win!), what others think (<- pro tip: ignore it), preferred indifference (committed but not attached), and using adversity as fuel for our Optimizing (use Hermes' magic wand!).",PhilosophersNotes,Ancient Wisdom
The Obstacle Is the Way,The Timeless Art of Turning Trials into Triumph,Ryan Holiday,Ryan Holiday is brilliant. So is this book. The ancient Stoics taught us how to not only accept challenges but to thrive on them. Ryan brings their wisdom to life with compelling stories of great peeps who have rocked it in the face of adversity. In the Note we'll take a quick look at the three keys to making obstacles work for us: Perception + Action + Will.,PhilosophersNotes,Ancient Wisdom
The Philosophy of Cognitive Behavioural Therapy,Stoic Philosophy as Rational and Cognitive Psychotherapy,Donald Robertson,"Got problems with your soul? These days, you’d see a psychotherapist. But, back in the day, it was the philosopher who’d help you optimize—they were the preferred physician of the soul. This book is about the philosophical roots of modern psychotherapy. Specifically, it outlines the connection between cognitive behavioral therapy (CBT) and Stoicism. Big Ideas we explore include being a warrior of the mind vs. a librarian of the mind, your highest human purpose, getting on good terms with your inner daimon, practicing the reserve clause and modeling your ideal sage.",PhilosophersNotes,Ancient Wisdom
Musonius Rufus,Lectures and Sayings,Cynthia Arrieu-King,"Musonius Rufus was one of the four great Roman Stoics. In fact, he was known as the “Roman Socrates.” To put him in historical context with the other three great Roman Stoics: He was born in AD 30, about 34 years after Seneca. He taught Epictetus (who was born in AD 55). Epictetus died in 135 but taught the guys who taught the Roman Emperor Marcus Aurelius (who was born in AD 121) his Stoic philosophy—which is why Aurelius refers to him more than any other teacher in Meditations. Big Ideas we explore include: Theory vs. Practice (which is more important?), practicing philosophy (is where it's at!), vice vs. exile (free yourself from vice!), food (it's the medicine of life), and stoic love advice (competing in kindness).",PhilosophersNotes,Ancient Wisdom
The Stoic Challenge,"A Philosopher's Guide to Becoming Tougher, Calmer, and More Resilient",William B. Irvine,"William B. Irvine is a professor of philosophy at Wright State University. He’s also a fantastic (and prolific) writer. And… Unlike many of his academic, professor-of-philosophy peers, he is a practicing Stoic philosopher. In the words of Donald Robertson (another Stoic author and practitioner; see The Philosophy of Cognitive Behavioral Therapy), he is both a librarian AND a warrior of the mind. We featured another one of Professor Irvine’s great books on Stoicism called A Guide to the Good Life. I enjoyed that one quite a bit but I REALLY (!) enjoyed this one. Like, jumbo loved it. In fact, I’m going to put this one right at the top of our growing collection of books on Stoicism—along with the must-read classics by Aurelius (Meditations), Seneca (Letters from a Stoic, On the Shortness of Life), and Epictetus (Discourses, Enchiridion) plus the modern classics like Ryan Holiday’s The Obstacle Is the Way and The Daily Stoic. If you’re looking for “A Philosopher’s Guide to Becoming Tougher, Calmer, and More Resilient,” I think you’ll enjoy it as much as I did. I HIGHLY recommend it.",PhilosophersNotes,Ancient Wisdom
Thoughts of a Philosophical Fighter Pilot,,James Stockdale,"Vice Admiral James Stockdale is an American hero. Stockdale spent nearly eight years as a prisoner of war in North Vietnam. He spent four of those years in solitary confinement and was repeatedly tortured. He was the commanding officer of hundreds of other U.S. soldiers and received the Medal of Honor for his service beyond the call of duty. This is an incredibly inspiring look at the powerful mind and equally powerful moral commitment of a hero. Big Ideas we explore: Being our brother’s keeper, chiseling our integrity to achieve delight with life, courage as endurance of the soul and heroes vs. bums.",PhilosophersNotes,Ancient Wisdom
Courage Under Fire,Testing Epictetus's Doctrines in a Laboratory of Human Behavior,James Stockdale,"James Stockdale spent 7 1/2 years as the highest ranking prisoner of war during the Vietnam War. 4 years in solitary confinement. 2 in leg irons. This book is about how he endured all of that with the wisdom of Stoic philosopher Epictetus in mind. In the Note, we explore the key tenets of Stoicism, the Stockdale Paradox, playing your role well and mastering your emotions.",PhilosophersNotes,Ancient Wisdom
Ego Is the Enemy,,Ryan Holiday,"Meet the enemy: Your ego. Our guide, Ryan Holiday, wrote one of my favorite books of 2015: The Obstacle Is the Way. Ego Is the Enemy is now one of my favorite books of 2016. It’s fantastic. Big Ideas we explore include: defining ego, becoming more than a flash in the pan, finally answering the question of whether it takes 10,000 or 20,000 hours to attain mastery, the virtue and value of staying true to your own path and making it rather than faking it.",PhilosophersNotes,Ancient Wisdom
Stillness Is the Key,,Ryan Holiday,"This is our fourth Note on one of Ryan Holiday’s books. Ryan is one of my absolute favorite writers. One of the testimonials in the front of the book perfectly captures my sentiment. Screenwriter and director Brian Koppelman (Rounders, Ocean’s Thirteen and Billions) puts it this way: “I don’t have many rules in life, but one I never break is: If Ryan Holiday writes a book, I read it as soon as I can get my hands on it.” (btw: Cal Newport’s the first testimonial. He says: “Some authors give advice. Ryan Holiday distills wisdom. This book is a must read.”) Penguin Random House sent me an advance copy of this book. As I knew it would be: It’s fantastic. Of course, the book’s packed with Big Ideas and I’m excited to share some of my favorites so let’s jump straight in!",PhilosophersNotes,Ancient Wisdom
Letters from a Stoic,,Seneca,"Seneca. He was born around the same time as Jesus and was one of the leading figures in his Roman Empire. He was also one of history's leading Stoic philosophers (along with Marcus Aurelius and Epictetus who we also profile) and has some powerful wisdom to share. In this Note, we'll explore the purpose of philosophy, the importance of focusing our attention and the mojo that comes from facing our fears.",PhilosophersNotes,Ancient Wisdom
A Guide to the Good Life,The Ancient Art of Stoic Joy,William B. Irvine,"Stoicism. I love it. Although pretty obscure today, Stoicism was once the primary philosophy of the Western world. (We’ve done Notes on the three leading Stoics: Marcus Aurelius and his Meditations, Seneca and his Letters from a Stoic, and Epictetus and his Enchiridion.) In this, Note, we’ll cover some of the essential ideas of the Stoic philosophical approach along with some Big Ideas on the art of living, the true meaning of virtue, how to visualize and the fact that we’re living in a dream world.",PhilosophersNotes,Ancient Wisdom
The Stoic Art of Living,Inner Resilience and Outer Results,Tom Morris,"This is our fourth Note on one of Tom Morris’s books. As we discussed in our Notes on True Success, The Art of Achievement, and Superheroes and Philosophy, Tom Morris got a dual Ph.D. from Yale in Philosophy and Religious Studies. Then he taught at Notre Dame for fifteen years before lecturing widely. This book combines two of my favorite things: Tom Morris’s practical, philosophical wisdom with Stoic philosophy. Big Ideas we explore include: Inner Confidence (and how to build it; remember: ""Disaster is virtue's opportunity.""), philosophy and what it's really about, how to deal with stress (pro tip: put it in a cosmic perspective), authentic living (and how to train it), and an emperor's wisdom for the battles of life.",PhilosophersNotes,Ancient Wisdom
Man's Search For Meaning,An Introduction to Logotherapy,Viktor Frankl,"Viktor Frankl survived the horrors of the holocaust and describes his Logotherapy in this classic book. In the Note, we'll explore the fact that our attitudes determine our happiness and that *no one* can ever take away the freedom for us to choose our response to any given situation. We'll also look at the importance of having a mission in life and that as we serve something bigger than ourselves, our happiness and success will follow.",PhilosophersNotes,Ancient Wisdom
Plato’s Lemonade Stand,Stirring Change into Something Great,Tom Morris,"Tom Morris has a joint Ph.D. from Yale in Religious Studies and Philosophy and is one of the most popular teachers in Notre Dame’s history. He’s one of my favorite teachers. In this book, he distills decades of wisdom into the ultimate philosophical lemonade-making recipe. Big Ideas we explore include lemon alchemy (Antifragility for the win!), the Big 3 + 1 (Socrates + Aristotle + Ockham --> Self-knowledge + Ideals + Courage + Simplicity), Plato’s Ideals (and yours), “I’m Getting Nervous!” (--> “I’m getting ready!”), and The Alchemy of Life (fuel for the second mountain).",PhilosophersNotes,Ancient Wisdom
Superheroes and Philosophy,"Truth, Justice, and the Socratic Way (Popular Culture and Philosophy)",Matt Morris & Tom Morris,"Tom Morris is one of my favorite modern philosophers. He has a dual Ph.D. from Yale in both Philosophy and Religious Studies. He also taught at Notre Dame for 15 years before becoming one of the most sought-after practical philosophers. We’ve featured two of his other books in which he brings ancient wisdom to our modern lives: True Success and The Art of Achievement. (He’s also the philosopher behind Philosophy for Dummies and wrote If Aristotle Ran General Motors and If Harry Potter Ran General Electric.) I got this book after he and I had an electric chat about Optimize 2020 and the role of The Modern Hero. It’s a collection of essays written by some of the smartest and wisest academic philosophers out there. Tom edited it with his son, Matt—which makes me think of *another* book we’ve featured on the wisdom of superheroes written by a dynamic father-son duo: Deepak Chopra and his son Gotham who wrote The Seven Spiritual Laws of Superheroes. I loved diving into some of the deeper philosophical questions inherent to our modern superhero tales. If that sounds like fun, I’ll think you’ll enjoy it as well. Of course, the book is packed with Big Ideas so, KABAM! Let’s throw on our spandex tights and capes and jump straight in.",PhilosophersNotes,Ancient Wisdom
Beyond Religion,Ethics for a Whole World,Dalai Lama,"I got this book after Ray Dalio strongly recommended it in Principles. It’s always a joy to read the words of a wise master. The Dalai Lama’s incredible thoughtfulness, humility, and grounded wisdom is inspiring. Big Ideas we explore include how to rethink secularism and create an ethics for a whole world, moving from knowing to doing, emotions (helpful or not vs. feel good or bad), contentment (material vs. mental), plus some meditation tips.",PhilosophersNotes,Ancient Wisdom
The Miracle of Mindfulness,An Introduction to the Practice of Meditation,Thich Nhat Hanh,"Written in 1975, The Miracle of Mindfulness is one of Thich Nhat Hanh’s earliest books. It was originally written as a long letter to one of his main staff members in South Vietnam—encouraging him during very challenging times to continue their work of “engaged Buddhism.” It’s beautifully written and packed with wisdom. Big Ideas we explore include what qualifies as a miracle (hint: it’s ALL a miracle), choosing to sit or stand but avoiding the wobble, how to balance on top of a bamboo pole and three questions to ponder.",PhilosophersNotes,Ancient Wisdom
"No Mud, No Lotus",The Art of Transforming Suffering,Thich Nhat Hanh,"Thich Nhat Hanh is one of the world’s leading Buddhist monks. He is a true master and it’s a joy to connect with his powerful wisdom. I picked this book off the shelf after fires nearly burned down our town. It felt like a good time to remind myself of the fact that the good life is not—and cannot be—exclusively “good” times. Want a beautiful lotus flower? Embrace the mud. No mud, no lotus. Want a wonderful, flourishing life? Embrace the challenges. No challenges, no flourishing. Big Ideas we explore include: suffering goes with happiness, lotus flowers don’t grow in marble, feed the good stuff, the first thing to do when suffering strikes (breathe!), billions of funerals/b-days every day, the two arrows, and why the Buddha meditated after becoming the Buddha.",PhilosophersNotes,Ancient Wisdom
Fear,Essential Wisdom for Getting Through the Storm,Thich Nhat Hanh,"A Vietnamese Buddhist Zen master, Thich Nhat Hanh is, essentially, a living saint. In this great little book, Nhat Hanh delivers his essential wisdom on how to navigate the storms of life with more grace and poise as we cultivate fearlessness/nonfear. Big Ideas range from breathing in the moment, reflecting on interbeingness (= huge), and enhancing our energy of mindfulness and concentration.",PhilosophersNotes,Ancient Wisdom
Peace Is Every Step,The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,"A humble Buddhist monk, Thich Nhat Hanh is one of the most revered spiritual leaders on the planet. This book is a collection of wisdom from his talks and private conversations and is packed with peaceful wisdom. In the Note, we’ll explore Big Ideas ranging from the importance of our breath and what he calls “mouth yoga” (aka smiling :) to how we can practice engaged mindfulness.",PhilosophersNotes,Ancient Wisdom
Buddhism Day by Day,Wisdom for Modern Life,Daisaku Ikeda,"Buddhism Day by Day is a collection of thoughts from Daisaku Ikeda, the leader of Nichiren Buddhism and one of the most respected Buddhist philosophers alive whose work has inspired millions around the world. It’s a very ENGAGED form of Buddhism that I love. Big Ideas we explore include: True enlightenment, making a vow, the real optimism, repaying debts of gratitude, nourishing our soul and how to measure our true worth.",PhilosophersNotes,Ancient Wisdom
The Places that Scare You,A Guide to Fearlessness in Difficult Times,Pema Chödrön,"We've all got places that scare us and in her great book, Pema Chodrön helps us shine a compassionate light on them. We'll explore some Brilliant Ideas including the fact that being mad at someone and holding a grudge is kinda like eating rat poisoning thinking you're going to hurt the rat. Not so much. We'll also look at idiot compassion and the practice of rejoicing in others' good fortune and other wonderfulness.",PhilosophersNotes,Ancient Wisdom
The Diamond Cutter,The Buddha on Strategies for Managing Your Business and Your Life,Geshe Michael Roach,"The wise Michael Roach was an undercover Buddhist monk who used a classic sutra from Buddhism (called The Diamond Cutter) to build a diamond business. In his book, he describes how he successfully applied this classic wisdom to his modern business and in the Note, we'll take a look at some of my favorite Big Ideas—including the fact that the world is ""empty"" of meaning and we always have the ability to see its hidden potential.",PhilosophersNotes,Ancient Wisdom
Big Mind Big Heart,Finding Your Way,Genpo Roshi,"Zen Master Genpo Roshi spent decades figuring out how to best help people develop enlightened awareness and came up with his revolutionary process called ""Big Mind."" In this Note, we'll take a peek at some Big Ideas from the Zen Master including how the root of suffering (dukkha) is getting stuck in one perspective and how that's about as effective as having a Maserati stuck in first gear. We'll also explore the place beyond idiot compassion as we become integrated human beings giving ourselves joyfully to the world.",PhilosophersNotes,Ancient Wisdom
Everyday Zen,Love and Work,Charlotte Joko Beck,"Charlotte Joko Beck was the founder and former head teacher at the Zen Center in San Diego. I bought this book 10 years ago but it wasn’t until Eleanor recently pulled it off the shelf and dropped it on the ground that I picked it up and read it. (Very Zen, eh? lol) The book is a collection of edited talks Joko gave at her Zen center. It was published in 1989 when she was 82. (She passed away at 94 in 2011.) Fun fact: Joko started practicing Zen at 48. She went on to become an influential figure in the American Zen movement, founding her own approach called Ordinary Mind. So… If you feel a little “behind” in any aspect of your life, take heart! :) The book is packed with Big Ideas and I’m excited to share a few of my favorites with some practical wisdom we can apply to our lives TODAY.",PhilosophersNotes,Ancient Wisdom
The Buddha in Your Mirror,Practical Buddhism and the Search for Self,Woody Hochswender & Greg Martin & Ted Morino,Looking for the Buddha? Cruise on over to your mirror and you'll find him (or her). YOU are the Buddha and this book shows us how to realize that fact and live from that awareness. Big Ideas range from rockin' your swan legs and cleaning your face to become who you are truly are.,PhilosophersNotes,Ancient Wisdom
Passage Meditation,Bringing the Deep Wisdom of the Heart into Daily Life,Eknath Easwaran,"This book could have been called “The Eight-Point Program for Daily Living” as Eknath Easwaran walks us through not just his approach to “passage meditation” but also the other key tenets of spiritual living. Big Ideas we explore include deciding whether you *really* want to get over your problems, how to tame your mind (and why it’s like an elephant’s unruly trunk!), making your mind one-pointed, swimming upstream and doing the work (vs. just attending lectures).",PhilosophersNotes,Ancient Wisdom
Knowledge of Higher Worlds and its Attainment,,Rudolf Steiner,"I got this book on the recommendation of Phil Stutz (author of The Tools). I recently hired Phil as my coach and he *loves* Rudolf Steiner. I love Phil and I love following Joseph Campbell’s advice to study the books the teachers you admire studied so here we are. Rudolf Steiner was a remarkable man. Born in 1861, he was a philosopher, architect, and social reformer. Big Ideas we explore: the fundamental attitude of your soul, the importance of cultivating courage (and how to do it), spiritual perfection (it’s your ultimate goal), unfailing mastery (is the key), and using all your powers to serve profoundly.",PhilosophersNotes,Ancient Wisdom
Sapiens,A Brief History of Humankind,Yuval Noah Harari,"Yuval Noah Harari has a PhD in history from Oxford and now lectures at the Hebrew University of Jerusalem. He also has popular online classes and his books have sold over 12 million (!) copies while being translated into dozens of languages. This book is an incredibly smart, well-written, astonishing look at, as per the sub-title, “A Brief History of Humankind.” The breadth and depth and wisdom of Harari's thinking is jaw-dropping. Distilling this 443-page mini-treatise on 70,000 years of Homo Sapien history is, obviously, impossible but we'll have fun taking a quick look at Homo sapiens' family tree (including our parents and brothers and sisters) plus the three revolutions that have shaped our history: The Cognitive Revolution + The Agricultural Revolution + The Scientific Revolution.",PhilosophersNotes,Ancient Wisdom
The Selected Writings of Ralph Waldo Emerson,,Ralph Waldo Emerson,"Ralph Waldo Emerson is a hero of mine (he occupies the Great-Great+ Grandfather slot in my spiritual family tree) and his essays, although written in 19th century prose, totally fire me up. In this Note, we'll explore some Big Ideas on self-reliance (trust yourself!!!), the power of enthusiasm (did you know the word literally means ""God within""?!), and how God will not have his work made manifest by cowards. Plus other goodness.",PhilosophersNotes,Ancient Wisdom
Thus Spoke Zarathustra,,Friedrich Nietzsche,"Nietzsche was said to deliver his philosophy with a hammer and this book definitely nails his disdain for conditioning and conformity. In the Note, we'll take a peek at some really Big Ideas including the fact that our worst enemy is often inside our own heads, that sometimes we need to push ourselves to discover just how far we can go, and how we’ve gotta be willing to go into the depths of our being if we want to fly.",PhilosophersNotes,Ancient Wisdom
#2 The #1 Key to Happiness + Flourishing,Hint: Become BFFs with your Inner Soul,,Imagine your ideal self. Smiling and waving at you. See ‘em?! (Seriously. Take a deep breath/10 seconds and bring that epically awesome,+1s,Ancient Wisdom
#3 How to High Five Your Inner Daimon,My Philosophy in One Word,,"To the extent that there’s a gap between who you’re capable of being in any given moment and who are actually being in that moment, you",+1s,Ancient Wisdom
#18 Deo Volente + Thy Will Be Done,"Wisdom from Apollo, the Patron God of Philosophy",,Deo volente. It’s Latin for “God willing.” The ancient Stoics told us that it’s important to have clear goals but we need to qualify,+1s,Ancient Wisdom
#53 Little by Little,The Buddha on How to Optimize,,"One of my favorite gems from the Buddha is this wisdom: “Little by little one becomes evil, as a water pot is filled with water. Little by",+1s,Ancient Wisdom
#184 The Ultimate Jihad,Winning the Battle with Ourselves,,"Continuing our theme of Sufi wisdom via the great 13th century Muslim poet Rumi, let’s talk about the ultimate jihad. First, we need to",+1s,Ancient Wisdom
#98 The Equanimity Game,How to Play It Like an Emperor,,"In our last +1, we talked about getting really good at recovering from our inevitable glitches. My favorite way to do that? I like to think",+1s,Ancient Wisdom
#133 The Serenity Prayer,Serenity + Courage + Wisdom = A Winning Combo,,"In our last +1 we talked about Byron Katie’s idea that you can be in one of three businesses: someone else’s business, God’s business",+1s,Ancient Wisdom
#100 Euthymia,How to Live with Energized Tranquility,,First: Welcome to our 100th +1. It’s a special milestone. Kinda excited about it. 😃 Let’s celebrate it with one of my favorite words,+1s,Ancient Wisdom
#200 The 5 (Greek) Keys to Optimizing,Areté + Eudaimonia + en*theos + Hērōs + Euthymia,,We’re hitting another exciting milestone in our +1 series today: #200. Let’s celebrate in style. We celebrated #100 with one of my,+1s,Ancient Wisdom
#398 The Parable of the Talents,Using Yours?,,"In our last +1, we talked about a wise daughter-in-law who planted her seeds and reaped a bountiful harvest. Another great teacher once told",+1s,Ancient Wisdom
#229 Virtuous vs. Vicious,Which Are You?,,"Here’s another interesting etymological distinction. We all know that when we live with virtue we are virtuous. But, what about when we",+1s,Ancient Wisdom
#466 Aristotle’s Doctrine of the (Virtuous) Mean,vs. The Vices of Excess and Deficiency,,"Continuing our “What does Aristotle have to say about Optimizing?” theme, let’s chat a little more about HOW Aristotle tells us we can",+1s,Ancient Wisdom
#431 Going the Second Mile,Jesus Says: It's the Way to Roll,,Do you know where the whole “go the second mile” concept comes from? Many of you probably know that it’s from the Bible where Jesus,+1s,Ancient Wisdom
#438 Jesus Said: Who Shall Inherit the Earth?,Was It the “Meek” or the “Disciplined”/”Tamed”?,,"Once upon a time, an extraordinary teacher gave a little Sermon on the Mount. Among other things, he told us: “Blessed are the meek: for",+1s,Ancient Wisdom
#472 Confucius Says,The Original Optimizer on Intensity,,"Continuing our old-school theme, let’s move back a couple hundred years before Aristotle, and, according to Google maps, let’s go east",+1s,Ancient Wisdom
#473 Confucius on the Long Game,Play It with Intensity,,"In our last +1, we spent time trying to keep up with Confucius and his Optimizing intensity. Today we’re going to focus on the time",+1s,Ancient Wisdom
